Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
ryujehongvs Boston Uprising,Zenyatta,0:38:44,783,9.30%,2.58,6.71,0.38,-4.13,4.13,0,50,8.00%,14.00%,0.00%,0.00%,101,93.13,32,2.58,2.05,0.795,6.71,4.57,0.68,0.115,-13,14.29%,9.35%,19.85%,14.71%,41.18%,2324
Rawkus vs New York Excelsior,Zenyatta,0:48:36,769,5.30%,1.44,4.94,0.29,-3.5,3.09,0,66,0.00%,7.58%,0.00%,0.00%,89.75,92.4,65.47,1.44,0.33,0.231,4.94,2.78,0.563,-0.332,5.36,7.14%,5.30%,15.79%,10.81%,32.43%,2916
Sleepy vs Los Angeles Gladiators,Zenyatta,0:35:24,761,8.20%,2.26,4.52,0.5,-2.26,3.67,0,50,4.00%,16.00%,0.00%,0.00%,119,112.46,41.77,2.26,0.93,0.411,4.52,2.59,0.572,-0.161,-8.67,8.33%,8.16%,15.38%,8.82%,26.47%,2124
Freefeel vs New York Excelsior,Zenyatta,0:41:52,751,10.30%,1.67,6.93,0.24,-5.25,2.63,0,54,3.70%,12.96%,0.00%,0.00%,112.67,107.18,66.27,1.67,2.21,1.321,6.93,3.21,0.463,0.858,-20.37,0.00%,10.29%,16.67%,6.25%,28.13%,2512
Bdosin vs Los Angeles Valiant,Zenyatta,0:28:42,750,6.80%,1.74,5.57,0.31,-3.83,3.83,0,38,5.26%,7.89%,0.00%,0.00%,108,105.18,32.45,1.74,2.86,1.642,5.57,0.06,0.011,1.631,-12.5,18.18%,6.85%,18.82%,4.55%,40.91%,1722
ryujehongvs Philadelphia Fusion,Zenyatta,0:51:44,746,11.40%,2.71,6.38,0.42,-3.67,3.48,0,60,3.33%,10.00%,0.00%,0.00%,104.6,102.06,40.78,2.71,-0.38,-0.139,6.38,2.68,0.42,-0.559,-8.1,11.11%,11.38%,18.23%,6.67%,35.56%,3104
 Gidovs San Francisco Shock,Zenyatta,0:42:55,740,7.70%,2.1,6.06,0.35,-3.96,3.96,0,57,3.51%,12.28%,0.00%,0.00%,95.29,94.88,39.88,2.1,1.63,0.777,6.06,5.12,0.845,-0.068,13.5,5.88%,7.69%,19.70%,14.63%,36.59%,2575
Zuppeh vs Philadelphia Fusion,Zenyatta,0:47:08,736,9.40%,1.91,5.73,0.33,-3.82,3.61,0,58,0.00%,3.45%,0.00%,0.00%,116,111.12,29.76,1.91,-1.09,-0.57,5.73,0.52,0.091,-0.661,3.18,5.88%,9.38%,13.99%,12.20%,24.39%,2828
Freefeel vs San Francisco Shock,Zenyatta,0:20:06,728,10.30%,1.99,5.97,0.33,-3.98,2.99,0,28,3.57%,10.71%,0.00%,0.00%,128.25,122.83,32.5,1.99,-0.36,-0.18,5.97,0,0,-0.18,-15.48,0.00%,10.26%,13.95%,5.00%,30.00%,1206
ryujehongvs London Spitfire,Zenyatta,0:52:19,699,6.70%,1.53,5.54,0.28,-4.01,3.63,0,62,0.00%,12.90%,0.00%,0.00%,105.73,99.26,55.74,1.53,0.68,0.447,5.54,1.53,0.276,0.171,8.99,5.88%,6.67%,17.90%,6.67%,35.56%,3139
Rawkus vs Los Angeles Gladiators,Zenyatta,0:37:57,663,5.20%,1.58,5.01,0.32,-3.43,3.43,0,52,3.85%,9.62%,0.00%,0.00%,113.29,102.69,39.15,1.58,-0.17,-0.111,5.01,3.58,0.714,-0.825,15.38,0.00%,5.17%,14.84%,5.56%,33.33%,2277
Freefeel vs Los Angeles Valiant,Zenyatta,0:40:17,659,9.90%,2.23,5.21,0.43,-2.98,3.23,0,49,0.00%,10.20%,0.00%,0.00%,119.56,117.92,28.46,2.23,-0.2,-0.091,5.21,2,0.383,-0.474,-26.28,0.00%,9.89%,16.67%,2.70%,27.03%,2417
Zuppeh vs London Spitfire,Zenyatta,0:49:13,640,7.20%,1.22,5.89,0.21,-4.67,3.45,0,60,1.67%,3.33%,0.00%,0.00%,118.88,114.06,32.12,1.22,0.29,0.234,5.89,-1.3,-0.221,0.455,-3.33,11.76%,7.23%,15.93%,5.00%,25.00%,2953
Freefeel vs Los Angeles Gladiators,Zenyatta,0:35:20,638,9.80%,1.42,7.64,0.19,-6.23,4.25,0,46,0.00%,15.22%,0.00%,0.00%,110,91.27,31.93,1.42,-1.34,-0.944,7.64,1.88,0.246,-1.19,-3.86,20.00%,9.80%,18.37%,10.00%,40.00%,2120
ryujehongvs Los Angeles Gladiators,Zenyatta,0:35:59,574,5.60%,1.67,6.67,0.25,-5,3.89,0,43,2.33%,23.26%,0.00%,0.00%,106.14,102.14,33.43,1.67,0.09,0.054,6.67,2.86,0.429,-0.375,-9.53,7.14%,5.56%,18.18%,6.06%,36.36%,2159
Freefeel vs Seoul Dynasty,Zenyatta,0:50:22,549,6.80%,1.39,5.36,0.26,-3.97,3.77,0,60,0.00%,13.33%,0.00%,0.00%,115,105.89,41.58,1.39,-1.86,-1.337,5.36,1.67,0.311,-1.648,0,5.26%,6.80%,16.56%,0.00%,28.95%,3022
Freefeel vs Philadelphia Fusion,Zenyatta,0:51:50,451,6.50%,1.54,6.95,0.22,-5.4,3.28,0,62,1.61%,9.68%,0.00%,0.00%,124.88,114.12,42.24,1.54,-0.31,-0.199,6.95,2.85,0.41,-0.609,-2.26,6.67%,6.45%,19.25%,4.65%,34.88%,3110
