Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
 Nekovs New York Excelsior,Zenyatta,0:46:07,1056,13.00%,3.9,5.42,0.72,-1.52,3.69,0,55,5.45%,5.45%,0.00%,0.00%,102,94.06,49.59,3.9,0.95,0.244,5.42,-0.62,-0.114,0.358,9.09,25.00%,13.04%,16.56%,14.29%,30.95%,2767
chipshajenvs Shanghai Dragons,Zenyatta,0:51:14,1054,10.70%,3.12,3.9,0.8,-0.78,4.1,0,63,3.17%,9.52%,0.00%,0.00%,100.8,91.95,35.95,3.12,-0.57,-0.184,3.9,-0.33,-0.085,-0.099,4.44,10.53%,10.74%,15.75%,12.20%,14.63%,3074
Boomboxvs Boston Uprising,Zenyatta,0:40:57,1037,13.60%,4.64,5.62,0.83,-0.98,3.17,0,54,9.26%,11.11%,0.00%,0.00%,108.22,98,61.38,4.64,2.19,0.471,5.62,0.39,0.069,0.402,-5.56,8.33%,13.57%,19.83%,18.92%,24.32%,2457
Zuppeh vs Seoul Dynasty,Zenyatta,0:56:53,1035,10.70%,2.64,4.57,0.58,-1.93,4.75,0,68,1.47%,5.88%,0.00%,0.00%,95.1,95.3,21.78,2.64,-0.6,-0.229,4.57,-1.04,-0.228,-0.001,5.74,7.69%,10.71%,12.81%,10.20%,14.29%,3413
Aimgod vs Dallas Fuel,Zenyatta,0:53:18,1034,9.20%,2.25,5.44,0.41,-3.19,4.5,0,74,1.35%,9.46%,0.00%,0.00%,85.11,73.42,48.63,2.25,-0.46,-0.204,5.44,0.02,0.004,-0.208,-16.49,18.18%,9.23%,15.18%,8.51%,21.28%,3198
Rawkus vs Dallas Fuel,Zenyatta,0:42:44,1034,7.00%,2.57,4.45,0.58,-1.87,4.21,0,59,1.69%,6.78%,0.00%,0.00%,78.33,77.5,50.78,2.57,1.18,0.457,4.45,1.58,0.356,0.101,7.3,0.00%,7.01%,15.57%,7.32%,17.07%,2564
uNKOE vs Seoul Dynasty,Zenyatta,0:52:15,1000,13.70%,3.25,5.93,0.55,-2.68,3.83,0,65,4.62%,6.15%,0.00%,0.00%,113.78,99.6,35.05,3.25,0.36,0.111,5.93,0,0,0.111,7.69,10.00%,13.71%,16.32%,20.83%,25.00%,3135
 Sky vs Dallas Fuel,Zenyatta,0:13:21,999,6.70%,1.5,3.75,0.4,-2.25,3,0,18,5.56%,5.56%,0.00%,0.00%,89,89,49.25,1.5,1.18,0.787,3.75,0.34,0.09,0.697,55.56,50.00%,6.67%,13.16%,9.09%,27.27%,801
uNKOE vs Houston Outlaws,Zenyatta,0:45:38,996,7.50%,2.41,5.48,0.44,-3.07,3.94,0,64,4.69%,7.81%,0.00%,0.00%,83.4,83,46.83,2.41,1.41,0.587,5.48,1.13,0.206,0.381,-4.69,0.00%,7.53%,15.34%,15.22%,21.74%,2738
Boomboxvs London Spitfire,Zenyatta,0:54:22,994,11.40%,2.76,4.78,0.58,-2.02,3.86,0,68,2.94%,5.88%,0.00%,0.00%,112.5,86.48,49.14,2.76,0.02,0.008,4.78,-0.06,-0.013,0.021,-2.52,23.81%,11.36%,18.18%,10.81%,24.32%,3262
uNKOE vs New York Excelsior,Zenyatta,0:55:48,994,14.20%,3.05,5.73,0.53,-2.69,3.41,0,69,5.80%,7.25%,0.00%,0.00%,113.5,101.26,52.05,3.05,1.43,0.468,5.73,0.51,0.09,0.378,-13.46,5.88%,14.17%,16.93%,20.00%,27.50%,3348
Boomboxvs Florida Mayhem,Zenyatta,0:46:48,993,9.20%,3.63,3.42,1.06,0.21,3.63,0,58,1.72%,3.45%,0.00%,0.00%,113.88,106.18,48.71,3.63,1.3,0.357,3.42,-0.55,-0.16,0.517,16.21,21.43%,9.19%,16.49%,12.20%,12.20%,2808
Boomboxvs Shanghai Dragons,Zenyatta,0:51:02,986,11.00%,4.11,3.92,1.05,0.2,3.33,0,62,3.23%,6.45%,0.00%,0.00%,110.11,105.76,52.47,4.11,0.04,0.011,3.92,-0.79,-0.201,0.212,15.69,18.75%,10.99%,16.53%,4.76%,14.29%,3062
Rawkus vs Boston Uprising,Zenyatta,0:42:17,982,6.10%,2.36,3.78,0.63,-1.42,3.55,0,55,3.64%,3.64%,0.00%,0.00%,92.89,94.93,56.53,2.36,0.22,0.094,3.78,-2.37,-0.626,0.72,0.15,0.00%,6.06%,15.09%,16.22%,13.51%,2537
Bdosin vs New York Excelsior,Zenyatta,0:34:09,979,15.00%,4.39,6.44,0.68,-2.05,3.81,0,41,4.88%,14.63%,0.00%,0.00%,111.22,94.77,29.23,4.39,-0.71,-0.161,6.44,1.72,0.266,-0.427,0.54,0.00%,15.00%,18.33%,13.79%,37.93%,2049
Aimgod vs Seoul Dynasty,Zenyatta,0:43:21,977,14.00%,4.84,5.07,0.95,-0.23,3.69,0,54,9.26%,14.81%,0.00%,0.00%,121,107,43.06,4.84,1.07,0.22,5.07,1.26,0.247,-0.027,9.76,14.29%,14.00%,19.64%,21.62%,35.14%,2601
Zuppeh vs Dallas Fuel,Zenyatta,0:39:50,975,10.30%,2.26,5.52,0.41,-3.26,4.27,0,51,1.96%,9.80%,0.00%,0.00%,109.44,86.94,24.18,2.26,0.08,0.033,5.52,2.43,0.44,-0.407,7.24,5.88%,10.34%,12.87%,5.41%,24.32%,2390
Bdosin vs Dallas Fuel,Zenyatta,0:35:29,959,10.80%,3.1,5.35,0.58,-2.25,3.95,0,40,2.50%,10.00%,0.00%,0.00%,99.14,92.79,33.71,3.1,-0.19,-0.061,5.35,1.03,0.193,-0.254,21.54,0.00%,10.78%,17.92%,20.69%,20.69%,2129
 Shazvs Los Angeles Valiant,Zenyatta,0:52:42,958,9.50%,2.47,4.74,0.52,-2.28,3.98,0,68,4.41%,10.29%,0.00%,0.00%,102.9,90.33,33.19,2.47,0.56,0.228,4.74,2.03,0.428,-0.2,-1.05,14.29%,9.49%,14.97%,8.89%,24.44%,3162
Bdosin vs Philadelphia Fusion,Zenyatta,0:59:58,945,7.60%,2.17,4,0.54,-1.83,4,0,75,4.00%,6.67%,0.00%,0.00%,121.5,93.46,38.96,2.17,0.67,0.31,4,1.88,0.47,-0.16,-16,16.67%,7.60%,15.29%,17.07%,19.51%,3598
Sleepy vs New York Excelsior,Zenyatta,0:25:34,943,13.60%,3.13,5.08,0.62,-1.96,3.91,0,30,3.33%,6.67%,0.00%,0.00%,111.2,104,32,3.13,-2.51,-0.802,5.08,1.05,0.206,-1.008,-24.17,10.00%,13.56%,13.27%,10.00%,30.00%,1534
Zuppeh vs Los Angeles Gladiators,Zenyatta,0:47:58,940,11.90%,3.13,6.05,0.52,-2.92,4.38,0,65,1.54%,10.77%,0.00%,0.00%,113.44,95.24,25.71,3.13,0.48,0.153,6.05,0.57,0.094,0.059,4.62,15.00%,11.90%,15.43%,6.52%,30.43%,2878
Boomboxvs Los Angeles Gladiators,Zenyatta,0:50:55,938,5.00%,1.37,4.32,0.32,-2.95,4.12,0,66,1.52%,3.03%,0.00%,0.00%,102.5,78.9,51.1,1.37,0.92,0.67,4.32,-0.43,-0.098,0.768,7.77,10.53%,5.04%,15.28%,0.00%,24.44%,3055
Boomboxvs Dallas Fuel,Zenyatta,0:36:05,934,10.50%,2.77,5.54,0.5,-2.77,3.88,0,46,4.35%,4.35%,0.00%,0.00%,86.67,88.93,37.14,2.77,-0.5,-0.181,5.54,-0.98,-0.177,-0.004,-14.73,8.33%,10.53%,16.26%,3.45%,27.59%,2165
 Karivvs Los Angeles Gladiators,Zenyatta,1:00:16,930,6.60%,1.99,3.65,0.55,-1.66,3.98,0,78,0.00%,5.13%,0.00%,0.00%,113.82,96.63,37.71,1.99,0.38,0.193,3.65,0.42,0.115,0.078,9.16,17.39%,6.56%,13.25%,7.69%,17.31%,3616
uNKOE vs San Francisco Shock,Zenyatta,0:30:12,929,7.00%,2.65,5.3,0.5,-2.65,4.3,0,39,2.56%,7.69%,0.00%,0.00%,88.86,89.62,32.46,2.65,-0.09,-0.032,5.3,2.31,0.437,-0.469,-16.32,0.00%,7.02%,13.11%,9.38%,18.75%,1812
