Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
Sleepy vs Dallas Fuel,Zenyatta,0:42:14,1844,17.80%,6.63,1.42,4.67,5.21,4.74,0,59,16.95%,5.08%,0.00%,0.00%,83.25,75.45,38.35,6.63,3.1,0.468,1.42,-0.18,-0.124,0.592,-5.86,30.00%,17.83%,8.00%,29.27%,9.76%,2534
 Shuvs Los Angeles Valiant,Zenyatta,0:53:52,1767,23.50%,6.68,3.34,2,3.34,5.94,0,66,10.61%,3.03%,0.00%,0.00%,84.4,73.03,18.34,6.68,2.04,0.305,3.34,-2.03,-0.607,0.912,-26,22.58%,23.53%,16.22%,32.65%,16.33%,3232
JJoNak vs San Francisco Shock,Zenyatta,1:03:18,1764,22.20%,6.16,3.16,1.95,3,5.37,0,69,17.39%,1.45%,0.00%,0.00%,76.8,69,29.74,6.16,2.44,0.397,3.16,-1.5,-0.475,0.872,-9.97,18.18%,22.16%,16.39%,33.33%,7.41%,3798
 Rapelvs Paris Eternal,Zenyatta,0:15:30,1728,23.00%,10.97,3.23,3.4,7.74,5.16,0,20,20.00%,0.00%,0.00%,0.00%,80,80.63,26.5,10.97,5.7,0.52,3.23,-5.57,-1.728,2.248,18.33,25.00%,22.97%,16.67%,44.44%,11.11%,930
JJoNak vs Toronto Defiant,Zenyatta,0:45:15,1723,21.30%,5.97,2.43,2.45,3.54,4.86,0,55,14.55%,0.00%,0.00%,0.00%,82,77.68,38,5.97,1.84,0.309,2.43,-0.02,-0.009,0.318,-13.33,10.00%,21.26%,12.64%,29.41%,8.82%,2715
 Nekovs Hangzhou Spark,Zenyatta,0:58:16,1719,17.30%,5.49,1.72,3.2,3.78,4.63,0,69,7.25%,2.90%,0.00%,0.00%,76.69,76.67,38.41,5.49,0.7,0.127,1.72,0.45,0.262,-0.135,-0.07,0.00%,17.30%,7.25%,24.56%,5.26%,3496
JJoNak vs Boston Uprising,Zenyatta,0:59:31,1659,23.30%,8.06,3.7,2.18,4.37,4.37,0,68,17.65%,5.88%,0.00%,0.00%,87.5,82.15,43.54,8.06,2.11,0.261,3.7,0.63,0.171,0.09,-2.67,4.17%,23.30%,17.89%,29.63%,16.67%,3571
 Shuvs Chengdu Hunters,Zenyatta,0:17:35,1650,28.30%,7.39,4.55,1.63,2.84,5.69,0,23,17.39%,4.35%,0.00%,0.00%,64.2,64.5,24.8,7.39,2.01,0.272,4.55,1.58,0.347,-0.075,-14.78,20.00%,28.26%,15.69%,38.89%,27.78%,1055
ryujehongvs Los Angeles Gladiators,Zenyatta,0:33:41,1587,17.40%,5.94,2.97,2,2.97,5.64,0,41,12.20%,0.00%,0.00%,0.00%,85.63,75.68,19.47,5.94,1.27,0.214,2.97,-0.66,-0.221,0.435,5.75,15.79%,17.39%,14.93%,28.57%,14.29%,2021
 Viol2tvs Washington Justice,Zenyatta,0:44:22,1575,13.90%,5.18,2.25,2.3,2.93,5.18,0,57,10.53%,7.02%,0.00%,0.00%,73.33,67.87,38.52,5.18,1.85,0.357,2.25,1.02,0.454,-0.097,-3.37,23.81%,13.86%,13.33%,32.50%,15.00%,2662
ryujehongvs Dallas Fuel,Zenyatta,0:35:33,1545,22.10%,4.78,3.94,1.21,0.84,5.34,0,38,10.53%,10.53%,0.00%,0.00%,71.25,71.63,20.74,4.78,0.26,0.055,3.94,0.12,0.032,0.023,0.53,11.11%,22.08%,15.05%,20.69%,24.14%,2133
Izayaki vs Houston Outlaws,Zenyatta,0:56:25,1510,21.90%,6.56,5.67,1.16,0.89,4.25,0,69,14.49%,8.70%,0.00%,0.00%,77.11,74.42,52.63,6.56,2.28,0.348,5.67,-0.05,-0.008,0.356,-0.46,12.50%,21.89%,20.00%,32.08%,22.64%,3385
Rawkus vs Atlanta Reign,Zenyatta,0:44:45,1505,16.80%,5.36,3.13,1.71,2.23,4.69,0,58,5.17%,3.45%,0.00%,0.00%,82,78.67,36.67,5.36,-1.07,-0.2,3.13,0.71,0.226,-0.426,-0.4,21.05%,16.78%,11.29%,17.02%,8.51%,2685
